case_type,customer_name,customer_email,customer_contact,attempt_count,contact_count,days_overdue,hours_since_notification,salary_proximity_days,mandate_revoked,promised_to_pay,failure_code,amount,txn_id,recovered
mandate_failure,Vivaan Rao,vivaan.rao654@example.com,+913370610486,1,0,0,84.0,-12,False,False,bank_timeout,1499.0,HIST-0000,True
mandate_failure,Sara Iyer,sara.iyer925@example.com,+917537434204,2,0,0,69.0,-7,False,False,insufficient_funds,2999.0,HIST-0001,True
mandate_failure,Arjun Nair,arjun.nair68@example.com,+918486761344,2,0,0,90.0,6,False,False,insufficient_funds,99.0,HIST-0002,False
mandate_failure,Arjun Reddy,arjun.reddy326@example.com,+918304714164,2,0,0,55.0,14,False,False,insufficient_funds,499.0,HIST-0003,False
mandate_failure,Karan Kapoor,karan.kapoor98@example.com,+912673773822,2,0,0,81.0,-9,False,False,insufficient_funds,999.0,HIST-0004,False
mandate_failure,Aarav Rao,aarav.rao664@example.com,+914627544501,2,0,0,57.0,5,False,False,insufficient_funds,499.0,HIST-0005,True
mandate_failure,Vivaan Rao,vivaan.rao574@example.com,+915540572503,0,0,0,95.0,-3,False,False,insufficient_funds,499.0,HIST-0006,True
mandate_failure,Sneha Singh,sneha.singh59@example.com,+917282351547,1,0,0,82.0,-3,False,False,bank_timeout,299.0,HIST-0007,True
mandate_failure,Rohan Sharma,rohan.sharma106@example.com,+910666461848,1,0,0,35.0,-2,False,False,bank_timeout,199.0,HIST-0008,True
mandate_failure,Kabir Kapoor,kabir.kapoor630@example.com,+915380313838,0,0,0,93.0,8,False,False,bank_timeout,499.0,HIST-0009,False
mandate_failure,Diya Rao,diya.rao788@example.com,+914620048146,2,0,0,63.0,2,False,False,insufficient_funds,199.0,HIST-0010,False
mandate_failure,Priya Sharma,priya.sharma758@example.com,+914653251505,1,0,0,26.0,9,False,False,insufficient_funds,1499.0,HIST-0011,False
mandate_failure,Priya Nair,priya.nair660@example.com,+911601571288,1,0,0,45.0,3,False,False,insufficient_funds,999.0,HIST-0012,True
mandate_failure,Aarav Reddy,aarav.reddy482@example.com,+914700246438,1,0,0,43.0,10,False,False,do_not_honor,499.0,HIST-0013,False
mandate_failure,Aditya Mehta,aditya.mehta849@example.com,+913203708412,1,0,0,32.0,5,False,False,insufficient_funds,499.0,HIST-0014,False
mandate_failure,Diya Rao,diya.rao726@example.com,+918620588220,1,0,0,83.0,-6,False,False,do_not_honor,499.0,HIST-0015,False
mandate_failure,Isha Nair,isha.nair203@example.com,+918525482881,0,0,0,93.0,-2,False,False,insufficient_funds,199.0,HIST-0016,False
mandate_failure,Isha Verma,isha.verma748@example.com,+917828144206,1,0,0,30.0,12,False,False,bank_timeout,299.0,HIST-0017,True
mandate_failure,Kabir Gupta,kabir.gupta6@example.com,+918820107816,2,0,0,27.0,12,False,False,do_not_honor,199.0,HIST-0018,False
mandate_failure,Priya Pillai,priya.pillai776@example.com,+912844318012,2,0,0,32.0,15,False,False,insufficient_funds,99.0,HIST-0019,False
mandate_failure,Rahul Kapoor,rahul.kapoor765@example.com,+915317706067,1,0,0,29.0,13,False,False,insufficient_funds,99.0,HIST-0020,True
mandate_failure,Kabir Verma,kabir.verma488@example.com,+914528428840,1,0,0,31.0,11,False,False,do_not_honor,199.0,HIST-0021,False
mandate_failure,Arjun Reddy,arjun.reddy7@example.com,+918151867345,1,0,0,44.0,-12,False,False,insufficient_funds,1499.0,HIST-0022,False
mandate_failure,Vikram Khan,vikram.khan233@example.com,+913465876523,1,0,0,70.0,-12,False,False,insufficient_funds,2999.0,HIST-0023,True
mandate_failure,Diya Khan,diya.khan530@example.com,+912228677807,1,0,0,37.0,-11,False,False,do_not_honor,99.0,HIST-0024,False
mandate_failure,Vikram Das,vikram.das144@example.com,+918851125141,0,0,0,36.0,-9,False,False,insufficient_funds,999.0,HIST-0025,True
mandate_failure,Meera Joshi,meera.joshi515@example.com,+916737284677,1,0,0,88.0,-10,False,False,insufficient_funds,1499.0,HIST-0026,False
mandate_failure,Ananya Joshi,ananya.joshi571@example.com,+918320038480,0,0,0,90.0,-3,False,False,bank_timeout,99.0,HIST-0027,True
mandate_failure,Vikram Singh,vikram.singh800@example.com,+918282757555,2,0,0,47.0,1,False,False,insufficient_funds,1499.0,HIST-0028,False
mandate_failure,Aditya Singh,aditya.singh462@example.com,+917365220134,0,0,0,50.0,-5,False,False,insufficient_funds,999.0,HIST-0029,False
mandate_failure,Arjun Nair,arjun.nair434@example.com,+913162278687,1,0,0,93.0,1,False,False,insufficient_funds,499.0,HIST-0030,True
mandate_failure,Vikram Iyer,vikram.iyer803@example.com,+914465021601,2,0,0,33.0,13,False,False,bank_timeout,499.0,HIST-0031,True
mandate_failure,Karan Verma,karan.verma621@example.com,+916504861881,1,0,0,95.0,9,False,False,do_not_honor,1499.0,HIST-0032,False
mandate_failure,Pooja Verma,pooja.verma253@example.com,+916500451115,1,0,0,61.0,6,False,False,do_not_honor,499.0,HIST-0033,False
mandate_failure,Rahul Singh,rahul.singh517@example.com,+914251871716,2,0,0,90.0,-3,False,False,bank_timeout,99.0,HIST-0034,False
mandate_failure,Pooja Rao,pooja.rao333@example.com,+916876527342,0,0,0,91.0,-13,False,False,insufficient_funds,2999.0,HIST-0035,True
mandate_failure,Arjun Reddy,arjun.reddy128@example.com,+916148837541,0,0,0,84.0,7,False,False,risk_block,299.0,HIST-0036,False
mandate_failure,Isha Gupta,isha.gupta849@example.com,+917511450640,2,0,0,45.0,-2,False,False,do_not_honor,1499.0,HIST-0037,False
mandate_failure,Rohan Khan,rohan.khan13@example.com,+912486740380,2,0,0,27.0,10,False,False,insufficient_funds,2999.0,HIST-0038,False
mandate_failure,Ishaan Sharma,ishaan.sharma665@example.com,+911550687022,2,0,0,38.0,10,False,False,insufficient_funds,1499.0,HIST-0039,True
